Order ID,Order Date,Customer Name,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD00026,2025-04-09,Customer_7585,Consumer,North,Haryana,Office Supplies,Stapler,4720.26,6,0.0,712.57
ORD00027,2024-09-04,Customer_4696,Consumer,East,Assam,Technology,Monitor,4815.99,7,0.05,1050.21
ORD00028,2024-07-19,Customer_1854,Home Office,East,Bihar,Office Supplies,Pen,4988.93,1,0.05,826.51
ORD00029,2023-05-10,Customer_6172,Consumer,East,Bihar,Technology,Keyboard,1465.37,1,0.0,161.03
ORD00030,2023-07-03,Customer_5218,Consumer,North,Haryana,Furniture,Chair,2498.32,6,0.15,100.47
ORD00031,2023-07-17,Customer_8125,Consumer,East,Odisha,Technology,Laptop,1286.58,6,0.2,216.24
ORD00032,2023-11-22,Customer_3511,Consumer,North,Delhi,Office Supplies,File,2725.3,1,0.0,354.82
ORD00033,2024-02-07,Customer_2986,Home Office,South,Karnataka,Office Supplies,File,299.8,4,0.15,56.78
ORD00034,2024-10-01,Customer_7694,Corporate,South,Kerala,Office Supplies,Marker,4066.56,4,0.15,1037.5
ORD00035,2024-04-17,Customer_6534,Corporate,South,Karnataka,Office Supplies,Stapler,4689.98,1,0.1,540.6
ORD00036,2024-09-15,Customer_3049,Consumer,East,Assam,Office Supplies,File,4398.96,3,0.15,280.38
ORD00037,2023-01-09,Customer_8400,Consumer,South,Karnataka,Technology,Keyboard,4981.64,5,0.2,1149.06
ORD00038,2023-04-30,Customer_2648,Home Office,South,Karnataka,Technology,Laptop,1811.13,3,0.15,437.88
ORD00039,2023-04-22,Customer_3557,Corporate,North,Punjab,Technology,Laptop,891.98,6,0.15,147.33
ORD00040,2025-05-27,Customer_5433,Consumer,North,Punjab,Furniture,Desk,4706.65,9,0.2,381.15
ORD00041,2023-06-10,Customer_6699,Corporate,South,Telangana,Technology,Monitor,2479.51,3,0.2,163.81
ORD00042,2024-01-27,Customer_2218,Corporate,South,Tamil Nadu,Technology,Monitor,1262.52,5,0.15,140.92
ORD00043,2024-04-14,Customer_4446,Home Office,West,Madhya Pradesh,Furniture,Chair,3322.3,1,0.15,489.05
ORD00044,2025-02-14,Customer_4354,Consumer,North,Delhi,Furniture,Sofa,1327.26,6,0.2,174.78
ORD00045,2024-04-25,Customer_8996,Corporate,South,Karnataka,Technology,Printer,2228.53,5,0.0,432.84
ORD00046,2024-05-26,Customer_9208,Corporate,South,Telangana,Technology,Keyboard,2546.05,4,0.1,565.58
ORD00047,2023-02-06,Customer_3327,Consumer,South,Tamil Nadu,Furniture,Bookshelf,4973.3,5,0.1,1078.86
ORD00048,2023-04-26,Customer_1190,Consumer,North,Delhi,Technology,Mouse,1720.68,5,0.1,473.33
ORD00049,2023-05-08,Customer_2816,Corporate,West,Madhya Pradesh,Furniture,Table,1597.92,7,0.0,206.5
ORD00050,2024-11-16,Customer_4863,Corporate,North,Punjab,Furniture,Chair,2033.99,6,0.05,554.27
ORD00051,2024-05-04,Customer_2409,Home Office,East,Assam,Furniture,Desk,1123.7,6,0.05,116.35
ORD00052,2023-09-03,Customer_8343,Consumer,West,Gujarat,Technology,Keyboard,1680.5,8,0.0,141.42
ORD00053,2024-02-12,Customer_9716,Consumer,North,Delhi,Office Supplies,Stapler,2808.82,7,0.05,681.22
ORD00054,2023-01-20,Customer_3368,Consumer,North,Uttar Pradesh,Office Supplies,Marker,499.81,7,0.0,103.45
ORD00055,2025-03-10,Customer_1853,Home Office,North,Delhi,Technology,Laptop,447.61,3,0.15,73.73
ORD00056,2023-11-01,Customer_5777,Home Office,North,Punjab,Furniture,Chair,1707.95,6,0.05,435.7
ORD00057,2023-09-21,Customer_4124,Corporate,South,Tamil Nadu,Office Supplies,Pen,4130.74,6,0.1,255.14
ORD00058,2025-06-02,Customer_5142,Consumer,East,Odisha,Technology,Keyboard,1430.56,5,0.15,329.75
ORD00059,2024-01-05,Customer_1635,Corporate,East,Assam,Technology,Keyboard,3527.61,8,0.15,187.62
ORD00060,2025-02-25,Customer_6177,Home Office,East,West Bengal,Technology,Monitor,3601.52,3,0.0,539.17
ORD00061,2025-03-01,Customer_2150,Home Office,North,Delhi,Office Supplies,Notebook,484.44,5,0.05,135.96
ORD00062,2024-05-27,Customer_8805,Consumer,East,Bihar,Furniture,Chair,3510.27,5,0.0,327.59
ORD00063,2023-09-29,Customer_5070,Home Office,East,Odisha,Technology,Monitor,559.98,9,0.2,44.79
ORD00064,2023-03-17,Customer_5249,Corporate,East,West Bengal,Office Supplies,Marker,3319.85,5,0.2,381.45
ORD00065,2023-08-08,Customer_6188,Consumer,North,Punjab,Furniture,Chair,1844.27,5,0.0,249.84
ORD00066,2023-08-06,Customer_7617,Consumer,South,Kerala,Furniture,Bookshelf,561.37,4,0.2,72.16
ORD00067,2025-01-03,Customer_5452,Home Office,East,Bihar,Office Supplies,Stapler,2508.92,7,0.15,158.82
ORD00068,2023-06-29,Customer_8390,Home Office,West,Rajasthan,Technology,Laptop,2052.67,6,0.2,475.54
ORD00069,2023-11-21,Customer_5611,Corporate,West,Rajasthan,Technology,Laptop,174.99,3,0.05,28.92
ORD00070,2025-06-14,Customer_7303,Home Office,South,Kerala,Technology,Monitor,3117.67,7,0.05,145.37
ORD00071,2024-01-15,Customer_5000,Home Office,West,Maharashtra,Technology,Laptop,4707.13,8,0.15,550.93
ORD00072,2024-02-21,Customer_4913,Home Office,South,Tamil Nadu,Furniture,Bookshelf,4074.9,5,0.15,474.83
ORD00073,2023-02-04,Customer_9967,Corporate,South,Telangana,Technology,Laptop,1112.75,2,0.2,37.4
ORD00074,2023-07-15,Customer_1825,Home Office,East,West Bengal,Furniture,Table,1988.44,2,0.1,199.77
ORD00075,2025-01-30,Customer_9867,Corporate,South,Tamil Nadu,Furniture,Bookshelf,3514.01,8,0.15,437.45
ORD00076,2024-07-01,Customer_6073,Corporate,South,Karnataka,Technology,Mouse,969.45,9,0.1,269.14
ORD00077,2024-11-25,Customer_6644,Corporate,North,Punjab,Office Supplies,Stapler,1325.08,8,0.2,92.29
ORD00078,2025-05-30,Customer_9787,Corporate,South,Kerala,Technology,Laptop,3725.55,3,0.0,538.09
ORD00079,2023-06-26,Customer_1395,Corporate,North,Uttar Pradesh,Technology,Mouse,4149.64,6,0.2,970.52
ORD00080,2025-03-06,Customer_1717,Consumer,East,Odisha,Technology,Mouse,4796.85,3,0.15,521.54
ORD00081,2023-05-24,Customer_5980,Consumer,South,Telangana,Furniture,Sofa,3416.17,4,0.1,523.55
ORD00082,2024-04-28,Customer_4636,Corporate,East,Odisha,Office Supplies,Marker,549.35,9,0.15,103.35
ORD00083,2023-07-05,Customer_7541,Consumer,East,West Bengal,Technology,Keyboard,3978.74,9,0.2,965.77
ORD00084,2023-08-23,Customer_9010,Corporate,East,West Bengal,Technology,Printer,2792.69,5,0.1,703.55
ORD00085,2023-09-10,Customer_2542,Home Office,East,Odisha,Furniture,Bookshelf,673.63,9,0.05,167.9
ORD00086,2025-03-05,Customer_3681,Corporate,North,Uttar Pradesh,Office Supplies,Notebook,2187.85,8,0.05,304.47
ORD00087,2023-12-31,Customer_2365,Home Office,North,Uttar Pradesh,Technology,Printer,818.36,5,0.1,143.48
ORD00088,2025-03-14,Customer_4141,Home Office,South,Kerala,Furniture,Chair,4082.72,7,0.0,808.26
ORD00089,2023-06-16,Customer_5186,Home Office,East,Odisha,Office Supplies,Pen,3570.09,3,0.2,373.06
ORD00090,2025-01-23,Customer_4709,Corporate,East,Odisha,Office Supplies,File,1318.75,3,0.1,123.2
ORD00091,2023-01-01,Customer_7530,Consumer,West,Rajasthan,Office Supplies,Notebook,375.89,8,0.2,81.08
ORD00092,2025-04-03,Customer_1928,Home Office,West,Madhya Pradesh,Office Supplies,Notebook,2958.51,9,0.15,270.49
ORD00093,2024-11-02,Customer_7316,Corporate,East,Assam,Office Supplies,Pen,1195.62,6,0.05,51.46
ORD00094,2023-08-17,Customer_7190,Home Office,East,Bihar,Furniture,Bookshelf,311.48,5,0.2,80.44
ORD00095,2023-09-16,Customer_3703,Home Office,East,Assam,Furniture,Desk,3184.05,1,0.2,586.6
ORD00096,2024-01-08,Customer_7819,Home Office,South,Telangana,Office Supplies,Notebook,3711.79,8,0.15,173.3
ORD00097,2023-02-10,Customer_5835,Corporate,North,Haryana,Office Supplies,Marker,2372.12,2,0.15,93.54
ORD00098,2024-12-24,Customer_3779,Consumer,North,Punjab,Office Supplies,Stapler,4932.43,6,0.0,591.6
ORD00099,2025-06-01,Customer_1255,Consumer,South,Karnataka,Technology,Laptop,1427.69,3,0.2,349.97
ORD00100,2025-03-08,Customer_8409,Home Office,West,Maharashtra,Furniture,Desk,2947.7,9,0.05,178.89
ORD00101,2023-05-26,Customer_9415,Consumer,South,Telangana,Furniture,Desk,2802.78,5,0.0,685.0
ORD00102,2025-05-03,Customer_7970,Consumer,South,Tamil Nadu,Technology,Monitor,4927.9,5,0.05,666.36
ORD00103,2024-05-25,Customer_1384,Consumer,South,Telangana,Technology,Printer,4226.38,1,0.05,207.96
ORD00104,2025-05-12,Customer_6989,Home Office,North,Uttar Pradesh,Technology,Monitor,166.99,7,0.15,37.28
ORD00105,2024-12-14,Customer_5178,Corporate,East,Assam,Office Supplies,Marker,4574.51,7,0.2,876.16
ORD00106,2024-12-17,Customer_8939,Corporate,West,Gujarat,Office Supplies,File,1312.01,9,0.0,378.53
ORD00107,2023-03-13,Customer_1249,Home Office,East,Bihar,Office Supplies,Stapler,1220.35,1,0.05,158.08
ORD00108,2023-09-25,Customer_2077,Consumer,West,Gujarat,Furniture,Desk,2649.51,6,0.1,424.03
ORD00109,2023-10-30,Customer_2252,Corporate,East,Bihar,Furniture,Sofa,4843.07,9,0.0,404.41
ORD00110,2024-02-26,Customer_7881,Corporate,North,Punjab,Technology,Mouse,3139.52,2,0.1,261.34
ORD00111,2025-05-08,Customer_2331,Corporate,South,Karnataka,Technology,Monitor,1817.88,2,0.05,250.98
ORD00112,2023-04-16,Customer_8730,Consumer,East,Assam,Furniture,Chair,2782.49,1,0.15,262.92
ORD00113,2023-11-26,Customer_3832,Home Office,West,Madhya Pradesh,Office Supplies,Pen,3518.45,4,0.05,955.78
ORD00114,2023-02-22,Customer_6569,Corporate,West,Madhya Pradesh,Technology,Keyboard,1365.4,8,0.2,348.19
ORD00115,2025-04-27,Customer_7238,Home Office,West,Madhya Pradesh,Office Supplies,Marker,1710.88,3,0.0,282.35
ORD00116,2024-11-26,Customer_9472,Corporate,South,Telangana,Technology,Keyboard,2061.47,8,0.15,134.96
ORD00117,2023-03-02,Customer_7777,Home Office,West,Maharashtra,Furniture,Sofa,4494.26,3,0.1,884.87
ORD00118,2024-11-12,Customer_4900,Home Office,West,Gujarat,Furniture,Table,1196.86,5,0.2,115.22
ORD00119,2024-06-07,Customer_3393,Home Office,North,Uttar Pradesh,Office Supplies,Marker,255.84,6,0.0,46.97
ORD00120,2023-03-14,Customer_7937,Consumer,North,Delhi,Office Supplies,File,4481.66,1,0.05,952.8
ORD00121,2024-07-26,Customer_5432,Corporate,West,Gujarat,Technology,Keyboard,4017.11,9,0.1,1045.32
ORD00122,2024-11-22,Customer_1302,Corporate,East,Bihar,Furniture,Sofa,1456.7,1,0.0,290.35
ORD00123,2023-03-19,Customer_1364,Consumer,West,Rajasthan,Furniture,Sofa,1915.31,6,0.05,440.5
ORD00124,2024-09-14,Customer_1918,Consumer,West,Maharashtra,Office Supplies,Marker,405.47,8,0.1,84.47
ORD00125,2025-06-01,Customer_4086,Home Office,East,Bihar,Office Supplies,Pen,2607.22,2,0.05,335.12
ORD00126,2023-02-08,Customer_2976,Consumer,North,Delhi,Technology,Mouse,613.86,7,0.2,34.11
ORD00127,2024-06-20,Customer_7288,Home Office,South,Karnataka,Technology,Monitor,4219.48,6,0.05,733.49
ORD00128,2023-08-21,Customer_7371,Corporate,North,Punjab,Furniture,Sofa,1780.34,9,0.15,193.66
ORD00129,2024-07-07,Customer_3472,Consumer,South,Tamil Nadu,Technology,Keyboard,2731.82,2,0.0,522.09
ORD00130,2024-03-18,Customer_1876,Corporate,North,Haryana,Office Supplies,File,1753.49,4,0.05,336.48
ORD00131,2023-10-04,Customer_2733,Consumer,South,Tamil Nadu,Office Supplies,Notebook,1718.71,9,0.0,89.17
ORD00132,2023-12-16,Customer_4735,Corporate,East,West Bengal,Office Supplies,Pen,1890.25,4,0.1,98.24
ORD00133,2023-02-09,Customer_5324,Home Office,West,Rajasthan,Technology,Printer,4494.15,7,0.1,724.13
ORD00134,2023-03-16,Customer_9195,Consumer,East,West Bengal,Furniture,Desk,4913.66,6,0.05,904.11
ORD00135,2024-07-27,Customer_6560,Home Office,West,Rajasthan,Office Supplies,File,125.97,6,0.0,21.75
ORD00136,2023-10-27,Customer_7469,Home Office,South,Telangana,Technology,Printer,3620.44,8,0.05,398.23
ORD00137,2024-06-15,Customer_5208,Home Office,East,Assam,Furniture,Desk,4843.17,4,0.1,386.86
ORD00138,2024-07-03,Customer_2828,Corporate,East,Odisha,Technology,Laptop,2696.22,1,0.05,625.37
ORD00139,2024-11-03,Customer_1009,Home Office,West,Gujarat,Furniture,Bookshelf,2579.91,4,0.2,369.31
ORD00140,2024-08-18,Customer_9512,Corporate,West,Rajasthan,Technology,Monitor,2788.16,2,0.2,505.06
ORD00141,2024-07-03,Customer_4490,Corporate,South,Telangana,Technology,Keyboard,780.24,9,0.0,61.77
ORD00142,2023-08-24,Customer_2908,Home Office,East,Odisha,Office Supplies,Stapler,1809.45,1,0.2,393.84
ORD00143,2024-06-30,Customer_3560,Home Office,North,Punjab,Technology,Mouse,3681.25,9,0.05,314.04
ORD00144,2025-04-19,Customer_7413,Home Office,West,Madhya Pradesh,Office Supplies,Notebook,3731.49,6,0.15,859.95
ORD00145,2025-04-30,Customer_8546,Consumer,West,Madhya Pradesh,Furniture,Chair,4017.73,3,0.2,227.41
ORD00146,2023-03-30,Customer_7943,Corporate,East,Bihar,Furniture,Table,3205.42,4,0.0,863.22
ORD00147,2023-05-23,Customer_3712,Corporate,East,Assam,Office Supplies,Marker,2367.13,6,0.0,560.78
ORD00148,2024-09-07,Customer_5018,Corporate,West,Rajasthan,Furniture,Desk,1841.28,7,0.05,323.86
ORD00149,2024-07-07,Customer_6567,Home Office,East,Odisha,Technology,Laptop,2759.96,6,0.1,515.91
ORD00150,2024-02-24,Customer_3204,Home Office,South,Kerala,Technology,Printer,916.98,1,0.15,188.32
ORD00151,2023-10-16,Customer_6373,Corporate,South,Karnataka,Technology,Monitor,843.21,1,0.2,60.81
ORD00152,2025-04-21,Customer_7028,Consumer,East,West Bengal,Technology,Keyboard,1102.27,2,0.05,180.22
ORD00153,2024-11-26,Customer_4228,Home Office,East,Bihar,Furniture,Chair,642.1,4,0.2,26.89
ORD00154,2024-02-15,Customer_1094,Home Office,South,Kerala,Technology,Laptop,2745.32,4,0.15,584.67
ORD00155,2023-10-10,Customer_3116,Consumer,East,Bihar,Office Supplies,File,3032.37,4,0.15,603.58
ORD00156,2024-01-31,Customer_8783,Corporate,North,Haryana,Furniture,Desk,4151.31,8,0.05,1149.17
ORD00157,2025-04-07,Customer_4531,Corporate,East,Bihar,Technology,Keyboard,2578.85,9,0.0,140.62
ORD00158,2025-04-19,Customer_1126,Consumer,North,Delhi,Furniture,Desk,600.84,4,0.2,144.58
ORD00159,2023-10-23,Customer_4368,Corporate,North,Punjab,Technology,Printer,847.44,9,0.1,181.45
ORD00160,2024-02-09,Customer_4417,Corporate,North,Punjab,Technology,Printer,4635.29,7,0.0,362.99
ORD00161,2024-07-20,Customer_7514,Corporate,South,Telangana,Furniture,Desk,4210.6,6,0.0,560.16
ORD00162,2023-07-21,Customer_4507,Consumer,West,Rajasthan,Office Supplies,Marker,2997.25,5,0.0,707.54
ORD00163,2024-06-20,Customer_2625,Corporate,North,Punjab,Office Supplies,Notebook,3960.17,9,0.1,513.01
ORD00164,2023-12-13,Customer_4600,Home Office,North,Punjab,Technology,Mouse,4607.29,2,0.05,738.13
ORD00165,2024-12-10,Customer_4572,Corporate,North,Punjab,Technology,Monitor,2976.63,3,0.0,519.7
ORD00166,2024-10-23,Customer_3713,Corporate,West,Rajasthan,Technology,Mouse,4582.74,1,0.2,711.0
ORD00167,2023-03-25,Customer_4432,Corporate,East,Assam,Technology,Mouse,164.16,5,0.0,15.51
ORD00168,2023-12-26,Customer_7704,Consumer,South,Telangana,Technology,Printer,828.45,6,0.15,127.39
ORD00169,2024-12-23,Customer_3079,Consumer,South,Kerala,Technology,Laptop,1568.02,7,0.1,129.32
ORD00170,2023-05-24,Customer_8186,Corporate,South,Kerala,Office Supplies,Marker,2394.34,1,0.2,250.04
ORD00171,2023-04-23,Customer_6797,Home Office,West,Maharashtra,Furniture,Sofa,421.97,3,0.05,72.2
ORD00172,2023-02-24,Customer_9038,Corporate,West,Rajasthan,Office Supplies,Marker,3850.25,4,0.0,514.36
ORD00173,2023-03-28,Customer_1054,Corporate,West,Maharashtra,Office Supplies,Pen,3790.91,3,0.05,539.01
ORD00174,2023-11-09,Customer_6954,Consumer,East,Odisha,Technology,Laptop,865.15,2,0.2,96.89
ORD00175,2024-08-01,Customer_8218,Consumer,North,Haryana,Office Supplies,Pen,1232.27,8,0.0,308.04
ORD00176,2023-03-29,Customer_3538,Home Office,West,Madhya Pradesh,Furniture,Table,3298.46,8,0.05,796.01
ORD00177,2025-01-04,Customer_1822,Corporate,West,Madhya Pradesh,Technology,Monitor,4816.98,4,0.2,218.07
ORD00178,2023-05-31,Customer_5242,Consumer,West,Rajasthan,Furniture,Chair,4492.05,7,0.05,275.71
ORD00179,2023-03-23,Customer_9705,Corporate,East,Assam,Office Supplies,File,701.61,3,0.15,126.8
ORD00180,2024-01-21,Customer_5566,Corporate,West,Maharashtra,Furniture,Chair,4562.06,5,0.15,474.3
ORD00181,2023-09-13,Customer_8083,Home Office,East,Odisha,Technology,Monitor,267.72,4,0.2,25.78
ORD00182,2024-12-14,Customer_3679,Consumer,North,Uttar Pradesh,Furniture,Chair,1175.6,6,0.15,64.69
ORD00183,2023-07-28,Customer_3573,Consumer,East,Assam,Office Supplies,File,4928.3,7,0.0,843.7
ORD00184,2023-07-20,Customer_6877,Corporate,South,Kerala,Office Supplies,Notebook,3734.27,2,0.2,413.15
ORD00185,2023-04-19,Customer_9996,Home Office,West,Madhya Pradesh,Technology,Laptop,3260.77,4,0.05,558.97
ORD00186,2023-02-10,Customer_8184,Consumer,South,Karnataka,Furniture,Bookshelf,190.11,2,0.2,40.64
ORD00187,2024-09-20,Customer_9041,Corporate,West,Maharashtra,Technology,Laptop,2085.72,6,0.05,458.96
ORD00188,2023-09-25,Customer_7136,Home Office,North,Punjab,Furniture,Sofa,786.09,9,0.1,140.99
ORD00189,2024-12-02,Customer_3681,Consumer,East,Assam,Furniture,Desk,2521.94,1,0.05,355.83
ORD00190,2024-12-05,Customer_3866,Home Office,West,Gujarat,Furniture,Table,2167.98,2,0.15,562.93
ORD00191,2025-02-17,Customer_6415,Corporate,South,Tamil Nadu,Furniture,Desk,542.65,3,0.05,30.96
ORD00192,2025-01-13,Customer_2333,Home Office,East,West Bengal,Furniture,Sofa,2242.25,4,0.0,516.58
ORD00193,2025-01-31,Customer_8715,Corporate,West,Gujarat,Furniture,Bookshelf,2432.65,8,0.2,318.53
ORD00194,2025-04-28,Customer_8101,Corporate,East,Odisha,Office Supplies,Marker,2745.23,3,0.1,659.91
ORD00195,2024-05-15,Customer_3120,Home Office,West,Rajasthan,Technology,Mouse,4780.66,2,0.0,1160.4
ORD00196,2024-09-07,Customer_7185,Corporate,West,Gujarat,Furniture,Chair,468.18,1,0.0,81.4
ORD00197,2023-04-18,Customer_9363,Corporate,West,Madhya Pradesh,Furniture,Table,2352.44,3,0.1,116.31
ORD00198,2024-09-04,Customer_5090,Corporate,North,Punjab,Office Supplies,Marker,4841.73,6,0.05,318.46
ORD00199,2024-05-11,Customer_8982,Corporate,North,Uttar Pradesh,Technology,Printer,4814.28,1,0.05,1023.71
ORD00200,2024-10-22,Customer_2750,Consumer,North,Punjab,Furniture,Table,524.86,8,0.1,111.82
ORD00201,2023-09-25,Customer_4993,Home Office,West,Rajasthan,Furniture,Bookshelf,3648.11,6,0.0,1006.3
ORD00202,2023-03-27,Customer_1390,Corporate,West,Maharashtra,Furniture,Bookshelf,352.82,7,0.0,33.57
ORD00203,2025-04-19,Customer_2521,Home Office,East,Assam,Office Supplies,Pen,266.34,5,0.0,26.14
ORD00204,2024-02-06,Customer_2466,Consumer,North,Punjab,Office Supplies,Stapler,2166.64,2,0.15,500.79
ORD00205,2025-03-23,Customer_1130,Corporate,North,Uttar Pradesh,Technology,Laptop,4161.69,1,0.1,708.19
ORD00206,2023-12-30,Customer_9230,Corporate,South,Kerala,Technology,Laptop,3511.82,8,0.05,776.79
ORD00207,2024-02-01,Customer_9684,Corporate,North,Haryana,Furniture,Sofa,1644.92,1,0.15,358.07
ORD00208,2024-02-18,Customer_5346,Home Office,South,Karnataka,Office Supplies,File,3117.73,2,0.1,771.72
ORD00209,2025-03-24,Customer_3032,Home Office,South,Karnataka,Technology,Laptop,4386.04,2,0.1,208.37
ORD00210,2024-03-15,Customer_2771,Consumer,West,Gujarat,Furniture,Bookshelf,2069.46,5,0.15,366.04
ORD00211,2024-11-19,Customer_3050,Corporate,South,Telangana,Office Supplies,Stapler,4922.01,9,0.15,1006.04
ORD00212,2023-10-20,Customer_8832,Home Office,East,West Bengal,Furniture,Sofa,2389.82,8,0.05,272.62
ORD00213,2025-06-07,Customer_8511,Home Office,South,Tamil Nadu,Furniture,Sofa,1458.6,5,0.0,112.85
ORD00214,2024-01-15,Customer_5805,Corporate,East,Assam,Office Supplies,Stapler,709.74,5,0.2,53.05
ORD00215,2023-08-14,Customer_8878,Consumer,East,Bihar,Furniture,Desk,4913.42,8,0.1,1257.5
ORD00216,2023-11-06,Customer_4564,Home Office,South,Telangana,Office Supplies,Stapler,4956.73,8,0.15,1137.35
ORD00217,2025-01-22,Customer_7402,Corporate,East,Odisha,Technology,Monitor,689.66,2,0.0,72.5
ORD00218,2024-12-27,Customer_3736,Corporate,North,Delhi,Office Supplies,File,4148.41,5,0.2,694.63
ORD00219,2025-06-09,Customer_8657,Home Office,South,Kerala,Technology,Mouse,2639.48,4,0.05,452.03
ORD00220,2023-06-09,Customer_8906,Home Office,East,Bihar,Office Supplies,Pen,2624.71,2,0.0,232.22
ORD00221,2023-11-25,Customer_5675,Home Office,North,Haryana,Furniture,Chair,1199.76,8,0.2,173.06
ORD00222,2023-11-19,Customer_2218,Corporate,East,Bihar,Technology,Keyboard,2942.42,2,0.1,733.74
ORD00223,2023-08-14,Customer_8291,Home Office,West,Gujarat,Technology,Mouse,4782.69,9,0.0,897.78
ORD00224,2024-08-24,Customer_9228,Corporate,East,Odisha,Technology,Keyboard,1926.17,8,0.1,406.14
ORD00225,2023-02-09,Customer_1317,Consumer,East,Odisha,Technology,Monitor,1178.9,5,0.2,262.66
ORD00226,2025-01-18,Customer_2312,Home Office,South,Karnataka,Office Supplies,File,3002.8,3,0.05,528.33
ORD00227,2024-07-24,Customer_2704,Corporate,East,West Bengal,Furniture,Chair,4405.29,3,0.15,1024.87
ORD00228,2023-07-10,Customer_4738,Home Office,North,Uttar Pradesh,Furniture,Sofa,1736.64,9,0.2,312.66
ORD00229,2025-04-05,Customer_3808,Corporate,West,Rajasthan,Technology,Mouse,3788.31,7,0.2,872.14
ORD00230,2023-12-29,Customer_4741,Home Office,North,Haryana,Office Supplies,Notebook,243.31,7,0.05,17.57
ORD00231,2024-08-11,Customer_1294,Home Office,North,Uttar Pradesh,Office Supplies,Stapler,4552.64,2,0.15,724.08
ORD00232,2023-08-11,Customer_8009,Consumer,West,Maharashtra,Technology,Laptop,1046.35,1,0.0,217.59
ORD00233,2023-11-22,Customer_6352,Consumer,East,Assam,Technology,Laptop,3206.63,8,0.2,657.24
ORD00234,2025-05-13,Customer_2265,Home Office,South,Telangana,Furniture,Sofa,4818.66,5,0.2,998.43
ORD00235,2025-06-04,Customer_3752,Corporate,West,Gujarat,Furniture,Chair,4741.76,1,0.15,174.68
ORD00236,2023-09-27,Customer_5799,Consumer,West,Rajasthan,Technology,Keyboard,383.81,8,0.1,93.31
ORD00237,2024-01-16,Customer_6126,Consumer,West,Madhya Pradesh,Technology,Keyboard,3412.66,4,0.1,213.36
ORD00238,2024-06-21,Customer_4356,Corporate,East,Odisha,Technology,Monitor,421.57,1,0.1,39.26
ORD00239,2023-09-28,Customer_3844,Home Office,South,Tamil Nadu,Furniture,Chair,4727.09,3,0.2,1056.75
ORD00240,2023-03-25,Customer_4093,Consumer,South,Tamil Nadu,Technology,Keyboard,3499.04,4,0.05,816.0
